,Species,Search Term,PMID,If ,PatientInformation,Immunity,Evidence
0,Streptococcus hyovaginalis,Streptococcus hyovaginalis,10425783,0,,,
0,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],21726983,0,,,
1,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],20560419,1,1,1,1
2,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],17313025,1,1,1,1
3,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],3444019,1,1,,1
4,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],20052513,1,1,1,1
5,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],1814189,0,,,
6,Streptococcus dysgalactiae,Streptococcus dysgalactiae AND pneumonia[Mesh],28348265,1,,,
0,Streptococcus thermophilus,Streptococcus thermophilus AND pneumonia[Mesh],25344083,0,,,
0,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],21446172,1,1,1,1
1,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],28376744,1,0,0,1
2,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],17712470,1,1,1,1
3,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],9091032,1,1,1,1
4,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],21172126,1,1,1,1
5,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],7332884,1,1,1,1
6,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],21055271,1,1,1,1
7,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],3568596,0,,,
8,Streptococcus mitis,Streptococcus mitis AND pneumonia[Mesh],9570172,1,1,1,1
0,Streptococcus oralis,Streptococcus oralis AND pneumonia[Mesh],29031240,1,1,1,1
0,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae AND pneumonia[Mesh],22644030,1,1,0,1
1,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae AND pneumonia[Mesh],22278834,1,1,0,1
2,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae AND pneumonia[Mesh],23840352,1,1,1,1
3,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae AND pneumonia[Mesh],31482074,0,,,
4,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae AND pneumonia[Mesh],25562990,1,1,1,1
0,Streptococcus uberis,Streptococcus uberis AND pneumonia[Mesh],26707304,1,1,0,1
0,Streptococcus mutans,Streptococcus mutans AND pneumonia[Mesh],21423727,1,1,0,1
0,Streptococcus anginosus,Streptococcus anginosus AND pneumonia[Mesh],24117447,0,,,
1,Streptococcus anginosus,Streptococcus anginosus AND pneumonia[Mesh],27681235,1,1,1,1
2,Streptococcus anginosus,Streptococcus anginosus AND pneumonia[Mesh],8749672,1,1,0,1
3,Streptococcus anginosus,Streptococcus anginosus AND pneumonia[Mesh],26502716,1,1,1,1
4,Streptococcus anginosus,Streptococcus anginosus AND pneumonia[Mesh],24390528,0,,,
5,Streptococcus anginosus,Streptococcus anginosus AND pneumonia[Mesh],31662033,1,1,1,1
6,Streptococcus anginosus,Streptococcus anginosus AND pneumonia[Mesh],1791343,1,1,1,1
0,Streptococcus salivarius,Streptococcus salivarius AND pneumonia[Mesh],28259058,0,,,
1,Streptococcus salivarius,Streptococcus salivarius AND pneumonia[Mesh],1734527,1,1,1,1
0,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],11705935,0,,,
1,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],3673579,0,,,
2,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],16011521,0,,,
3,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],29949731,0,,,
4,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],1889041,0,,,
5,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],22494561,0,,,
6,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],20629970,0,,,
7,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],21368558,0,,,
8,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],11158088,0,,,
9,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],8357920,0,,,
10,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],22556325,0,,,
11,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],1814189,0,,,
12,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],25916988,0,,,
13,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],7578464,0,,,
14,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],11476040,0,,,
15,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],8883345,0,,,
16,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],4064626,0,,,
17,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],31506432,0,,,
18,Streptococcus suis,Streptococcus suis AND pneumonia[Mesh],7141961,0,,,
0,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],8107060,0,,,
1,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],2607830,1,0,0,0
2,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],17548905,1,1,1,1
3,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],7788089,1,1,1,1
4,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],9193852,1,0,0,0
5,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],9872193,1,1,1,1
6,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],10086154,1,1,1,1
7,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],17000220,1,1,1,1
8,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],30951830,1,0,0,0
9,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],8749672,1,1,1,1
10,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],9727785,1,1,1,1
11,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],9046136,1,1,1,1
12,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],11579947,1,1,1,1
13,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],23518496,1,1,1,1
14,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],8311805,1,1,1,1
15,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],12572085,1,1,1,1
16,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],7745309,0,,,
17,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],2401808,1,1,1,1
18,Streptococcus milleri,Streptococcus milleri AND pneumonia[Mesh],1791343,0,,,
0,Streptococcus bovis,Streptococcus bovis AND pneumonia[Mesh],14627189,1,1,1,1
1,Streptococcus bovis,Streptococcus bovis AND pneumonia[Mesh],22760045,1,1,1,1
0,Streptococcus sanguinis,Streptococcus sanguinis AND pneumonia[Mesh],29031240,1,1,1,
0,Streptococcus intermedius,Streptococcus intermedius AND pneumonia[Mesh],15026958,1,0,0,0
1,Streptococcus intermedius,Streptococcus intermedius AND pneumonia[Mesh],23035188,1,1,1,1
2,Streptococcus intermedius,Streptococcus intermedius AND pneumonia[Mesh],11246310,1,1,1,1
3,Streptococcus intermedius,Streptococcus intermedius AND pneumonia[Mesh],10671350,1,0,0,0
4,Streptococcus intermedius,Streptococcus intermedius AND pneumonia[Mesh],8749672,1,1,1,1
5,Streptococcus intermedius,Streptococcus intermedius AND pneumonia[Mesh],24390528,1,1,1,1
6,Streptococcus intermedius,Streptococcus intermedius AND pneumonia[Mesh],33066738,1,1,1,1
7,Streptococcus intermedius,Streptococcus intermedius AND pneumonia[Mesh],30580031,1,1,1,1
8,Streptococcus intermedius,Streptococcus intermedius AND pneumonia[Mesh],1791343,0,,,
0,Streptococcus gallolyticus,Streptococcus gallolyticus AND pneumonia[Mesh],31366344,1,1,1,1
0,Streptococcus constellatus,Streptococcus constellatus AND pneumonia[Mesh],8107060,0,,,
1,Streptococcus constellatus,Streptococcus constellatus AND pneumonia[Mesh],16780031,1,1,1,1
2,Streptococcus constellatus,Streptococcus constellatus AND pneumonia[Mesh],27681235,1,1,1,1
3,Streptococcus constellatus,Streptococcus constellatus AND pneumonia[Mesh],8749672,1,1,1,1
4,Streptococcus constellatus,Streptococcus constellatus AND pneumonia[Mesh],32066414,1,1,1,1
5,Streptococcus constellatus,Streptococcus constellatus AND pneumonia[Mesh],7745309,0,,,
6,Streptococcus constellatus,Streptococcus constellatus AND pneumonia[Mesh],1791343,0,,,
0,Streptococcus sobrinus,Streptococcus sobrinus AND pneumonia[Mesh],11380747,1,1,1,1
0,Streptococcus parasanguinis,Streptococcus parasanguinis AND pneumonia[Mesh],27529967,1,1,1,1
0,Streptococcus gordonii,Streptococcus gordonii AND pneumonia[Mesh],8396094,0,,,
1,Streptococcus gordonii,Streptococcus gordonii AND pneumonia[Mesh],28978355,1,1,1,1
0,Streptococcus canis,Streptococcus canis AND pneumonia[Mesh],10901214,0,,,
1,Streptococcus canis,Streptococcus canis AND pneumonia[Mesh],12238389,0,,,
2,Streptococcus canis,Streptococcus canis AND pneumonia[Mesh],29369727,0,,,
,,,,61,54,48,54